reportnumber,origin,filerid,filertype,filername,firstname,middleinitial,lastname,office,legislativedistrict,position,party,jurisdiction,jurisdictioncounty,jurisdictiontype,electionyear,amount,recordtype,fromdate,thrudate,debtdate,code,description,vendorname,vendoraddress,vendorcity,vendorstate,vendorzip
100499005,B.3,WEBED  632,Candidate,WEBER DENNIS P,DENNIS,P,WEBER,COUNTY COMMISSIONER,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100497042,B.3,DREWK  027,Candidate,DREW KATHLEEN K,KATHLEEN,K,DREW,SECRETARY OF STATE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100497228,B.3,HARDT  445,Candidate,HARDER TERRY A,TERRY,A,HARDER,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100495982,B.3,BILLA2 203,Candidate,BILLIG ANDREW S,ANDREW,S,BILLIG,STATE SENATOR,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496270,B.3,FERGR  115,Candidate,FERGUSON ROBERT W,ROBERT,W,FERGUSON,ATTORNEY GENERAL,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496113,B.3,HARPK  368,Candidate,HARPER KEITH C,KEITH,C,HARPER,SUPERIOR COURT JUDGE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496161,B.3,JINKL  407,Candidate,JINKINS LAURIE A,LAURIE,A,JINKINS,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100499147,B.3,SCHLS  373,Candidate,SCHLUMPF SHELLY L,SHELLY,L,SCHLUMPF,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100499021,B.3,ASHAK  359,Candidate,ASHABRANER KARIN L,KARIN,L,ASHABRANER,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100499134,B.3,MCINJ  115,Candidate,MCINTIRE JAMES L,JAMES,L,MCINTIRE,STATE TREASURER,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100495633,B.3,CODYE  126,Candidate,CODY EILEEN L,EILEEN,L,CODY,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100499267,B.3,RANKK  250,Candidate,RANKER KEVIN M,KEVIN,M,RANKER,STATE SENATOR,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496719,B.3,DUNSH  291,Candidate,DUNSHEE HANS M,HANS,M,DUNSHEE,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100498435,B.3,SPRIL  033,Candidate,SPRINGER LAWRENCE S,LAWRENCE,S,SPRINGER,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496108,B.3,CANNS  133,Candidate,CANN SYLVESTER,SYLVESTER,,CANN,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496328,B.3,DELLD  201,Candidate,DELLWO DENNIS A,DENNIS,A,DELLWO,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100494847,B.3,JEFFT  485,Candidate,JEFFREYS TERRI M,TERRI,M,JEFFREYS,COUNTY COMMISSIONER,GOVERNOR,,,DEMOCRAT,"GOVERNOR, OFFICE OF",,Statewide,2012,5070.14,DEBT,2/1/12,2/29/12,2/29/12,,CONSULTING/TRAVEL,HIRSCHBERG STRATEGIES INC.,1010 VERMONT AVE NW #814,WASHINGTON,DC
100499533,B.3,CLOUJ  336,Candidate,CLOUGH JERAME V,JERAME,V,CLOUGH,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100493352,B.3,FLYGR  003,Candidate,FLYGARE ROGER G,ROGER,G,FLYGARE,STATE REPRESENTATIVE,GOVERNOR,,,DEMOCRAT,"GOVERNOR, OFFICE OF",,Statewide,2012,5070.14,DEBT,2/1/12,2/29/12,2/29/12,,CONSULTING/TRAVEL,HIRSCHBERG STRATEGIES INC.,1010 VERMONT AVE NW #814,WASHINGTON,DC
100499574,B.3,MULLM  027,Candidate,MULLET MARK D,MARK,D,MULLET,STATE SENATOR,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100499542,B.3,BILLA2 203,Candidate,BILLIG ANDREW S,ANDREW,S,BILLIG,STATE SENATOR,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496165,B.3,STAND  041,Candidate,STANFORD DEREK C,DEREK,C,STANFORD,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100492706,B.3,DASCE  303,Candidate,DASCH ELIZABETH A,ELIZABETH,A,DASCH,COUNTY COUNCIL MEMBER,GOVERNOR,,,DEMOCRAT,"GOVERNOR, OFFICE OF",,Statewide,2012,5070.14,DEBT,2/1/12,2/29/12,2/29/12,,CONSULTING/TRAVEL,HIRSCHBERG STRATEGIES INC.,1010 VERMONT AVE NW #814,WASHINGTON,DC
100494160,B.3,RYU C  133,Candidate,RYU CINDY S,CINDY,S,RYU,STATE REPRESENTATIVE,GOVERNOR,,,DEMOCRAT,"GOVERNOR, OFFICE OF",,Statewide,2012,5070.14,DEBT,2/1/12,2/29/12,2/29/12,,CONSULTING/TRAVEL,HIRSCHBERG STRATEGIES INC.,1010 VERMONT AVE NW #814,WASHINGTON,DC
100503263,B.3,FARRT  408,Candidate,FARRELL TIMOTHY M,TIMOTHY,M,FARRELL,COUNTY ASSESSOR,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100503264,B.3,FARRT  408,Candidate,FARRELL TIMOTHY M,TIMOTHY,M,FARRELL,COUNTY ASSESSOR,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100503320,B.3,RICHD  366,Candidate,RICHARDS DOUGLAS R,DOUGLAS,R,RICHARDS,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100503642,B.3,HARPK  368,Candidate,HARPER KEITH C,KEITH,C,HARPER,SUPERIOR COURT JUDGE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100495981,B.3,FRAMN  111,Candidate,FRAME NOEL C,NOEL,C,FRAME,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100497802,B.3,FLYNJ  055,Candidate,FLYNN JAMES J,JAMES,J,FLYNN,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100499430,B.3,FLYNJ  055,Candidate,FLYNN JAMES J,JAMES,J,FLYNN,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100499735,B.3,GUINS  011,Candidate,GUINN SANDRA L,SANDRA,L,GUINN,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100509651,B.3,MCKER2 006,Candidate,MCKENNA ROBERT M,ROBERT,M,MCKENNA,GOVERNOR,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100497101,B.3,LADEC2 408,Candidate,LADENBURG CONNIE J,CONNIE,J,LADENBURG,COUNTY COUNCIL MEMBER,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496120,B.3,RICCM  210,Candidate,RICCELLI MARCUS M,MARCUS,M,RICCELLI,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100499312,B.3,URQUJ  109,Candidate,URQUHART JOHN W,JOHN,W,URQUHART,COUNTY SHERIFF,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100497797,B.3,FREER  023,Candidate,FREEMAN ROGER D,ROGER,D,FREEMAN,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100492378,B.3,DAVIJS 508,Candidate,DAVIS JEFFERSON S,JEFFERSON,S,DAVIS,STATE REPRESENTATIVE,GOVERNOR,,,DEMOCRAT,"GOVERNOR, OFFICE OF",,Statewide,2012,5070.14,DEBT,2/1/12,2/29/12,2/29/12,,CONSULTING/TRAVEL,HIRSCHBERG STRATEGIES INC.,1010 VERMONT AVE NW #814,WASHINGTON,DC
100496209,B.3,GOLDP  840,Candidate,GOLDMARK PETER J,PETER,J,GOLDMARK,PUBLIC LANDS COMMISSIONER,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496318,B.3,ROSKJ  207,Candidate,ROSKELLEY JOHN F,JOHN,F,ROSKELLEY,COUNTY COMMISSIONER,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496847,B.3,CLIBJ  040,Candidate,CLIBBORN JUDITH R,JUDITH,R,CLIBBORN,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496858,B.3,WYMAK  513,Candidate,WYMAN KIMBERLEY M,KIMBERLEY,M,WYMAN,SECRETARY OF STATE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100495310,B.3,SIZEB  042,Candidate,SIZEMORE BUD E,BUD,E,SIZEMORE,STATE REPRESENTATIVE,GOVERNOR,,,DEMOCRAT,"GOVERNOR, OFFICE OF",,Statewide,2012,5070.14,DEBT,2/1/12,2/29/12,2/29/12,,CONSULTING/TRAVEL,HIRSCHBERG STRATEGIES INC.,1010 VERMONT AVE NW #814,WASHINGTON,DC
100497810,B.3,KELLT2 406,Candidate,KELLEY TROY X,TROY,X,KELLEY,STATE AUDITOR,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100499259,B.3,HABIC  004,Candidate,HABIB CYRUS,CYRUS,,HABIB,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496096,B.3,MAXWM  056,Candidate,MAXWELL MARCIE E,MARCIE,E,MAXWELL,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100492657,B.3,WEBED  632,Candidate,WEBER DENNIS P,DENNIS,P,WEBER,COUNTY COMMISSIONER,GOVERNOR,,,DEMOCRAT,"GOVERNOR, OFFICE OF",,Statewide,2012,5070.14,DEBT,2/1/12,2/29/12,2/29/12,,CONSULTING/TRAVEL,HIRSCHBERG STRATEGIES INC.,1010 VERMONT AVE NW #814,WASHINGTON,DC
100493913,B.3,PHILB  111,Candidate,PHILLIPS BRETT,BRETT,,PHILLIPS,STATE REPRESENTATIVE,GOVERNOR,,,DEMOCRAT,"GOVERNOR, OFFICE OF",,Statewide,2012,5070.14,DEBT,2/1/12,2/29/12,2/29/12,,CONSULTING/TRAVEL,HIRSCHBERG STRATEGIES INC.,1010 VERMONT AVE NW #814,WASHINGTON,DC
100495216,B.3,WALKA  273,Candidate,AXTHELM APRIL L,APRIL,L,AXTHELM,COUNTY COMMISSIONER,GOVERNOR,,,DEMOCRAT,"GOVERNOR, OFFICE OF",,Statewide,2012,5070.14,DEBT,2/1/12,2/29/12,2/29/12,,CONSULTING/TRAVEL,HIRSCHBERG STRATEGIES INC.,1010 VERMONT AVE NW #814,WASHINGTON,DC
100495619,B.3,CARLR  119,Candidate,CARLYLE REUVEN M,REUVEN,M,CARLYLE,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100499614,B.3,FREER  023,Candidate,FREEMAN ROGER D,ROGER,D,FREEMAN,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100495258,B.3,OOSTL  506,Candidate,OOSTERMAN LINDA L,LINDA,L,OOSTERMAN,PUBLIC UTILITY COMMISSIONER,GOVERNOR,,,DEMOCRAT,"GOVERNOR, OFFICE OF",,Statewide,2012,5070.14,DEBT,2/1/12,2/29/12,2/29/12,,CONSULTING/TRAVEL,HIRSCHBERG STRATEGIES INC.,1010 VERMONT AVE NW #814,WASHINGTON,DC
100503374,B.3,HAMID  528,Candidate,HAMILTON DENNIS K,DENNIS,K,HAMILTON,COUNTY COMMISSIONER,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496216,B.3,TARLG  109,Candidate,TARLETON GAEL D,GAEL,D,TARLETON,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496222,B.3,URQUJ  109,Candidate,URQUHART JOHN W,JOHN,W,URQUHART,COUNTY SHERIFF,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100496525,B.3,MORRJ  273,Candidate,MORRIS JEFFREY R,JEFFREY,R,MORRIS,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100499659,B.3,OQUIS  210,Candidate,O'QUINN SHELLY J,SHELLY,J,O'QUINN,COUNTY COMMISSIONER,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100499678,B.3,OOSTL  506,Candidate,OOSTERMAN LINDA L,LINDA,L,OOSTERMAN,PUBLIC UTILITY COMMISSIONER,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100497944,B.3,TANNJ  660,Candidate,TANNER JOE D,JOE,D,TANNER,COUNTY COMMISSIONER,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
100492336,B.3,HAMID  528,Candidate,HAMILTON DENNIS K,DENNIS,K,HAMILTON,COUNTY COMMISSIONER,GOVERNOR,,,DEMOCRAT,"GOVERNOR, OFFICE OF",,Statewide,2012,5070.14,DEBT,2/1/12,2/29/12,2/29/12,,CONSULTING/TRAVEL,HIRSCHBERG STRATEGIES INC.,1010 VERMONT AVE NW #814,WASHINGTON,DC
100495138,B.3,HAMID  528,Candidate,HAMILTON DENNIS K,DENNIS,K,HAMILTON,COUNTY COMMISSIONER,GOVERNOR,,,DEMOCRAT,"GOVERNOR, OFFICE OF",,Statewide,2012,5070.14,DEBT,2/1/12,2/29/12,2/29/12,,CONSULTING/TRAVEL,HIRSCHBERG STRATEGIES INC.,1010 VERMONT AVE NW #814,WASHINGTON,DC
100500207,B.3,DUNSH  291,Candidate,DUNSHEE HANS M,HANS,M,DUNSHEE,STATE REPRESENTATIVE,STATE SENATOR,1,,REPUBLICAN,LEG DISTRICT 01 - SENATE,KING,Legislative,2012,283.25,DEBT,6/1/12,7/16/12,7/3/12,,RE-ORDER TEE SHIRTS,HICKEY GAYLE,PO BOX 2749,WOODINVILLE ,WA
